bulletin_no,routes,gar_full,Event,Description,eff_day,eff_date,initials
SB20-0397,,Chicago,School Service,Winter 2019-2020 School Modification Instructions,Monday,12/21/2020,AK
SB20-0398,,74th,School Service,Winter 2019-2020 School Modification Instructions,Monday,03/01/2021,BD
SB20-0399,,103rd,School Service,Winter 2019-2020 School Modification Instructions,Monday,12/21/2020,AK
SB21-0001,81,Forest Glen,Covid-19 Short Turn,Short-turn operation extras for #81 - Weekday,Monday,01/04/2021,AK
SB21-0002,36,North Park,Covid-19 Short Turn,Short-turn operation extras for #36 - Sunday,Sunday,01/03/2021,AK
SB21-0003,22,North Park,Covid-19 Short Turn,Short-turn operation extras for #22 - Weekday,Monday,01/04/2021,AK
SB21-0004,22,North Park,Covid-19 Short Turn,Short-turn operation extras for #22- Saturday,Saturday,01/09/2021,AK
SB21-0005,147,North Park,Covid-19 Short Turn,Short-turn operation extras for #147 - Weekday,Monday,01/04/2021,AK
SB21-0006,20,Chicago,Covid-19 Short Turn,Short-turn operation extras for #20 - Sunday,Sunday,01/03/2021,AK
SB21-0007,20,Chicago,Covid-19 Short Turn,Short-turn operation extras for #20 - Weekday,Monday,01/04/2021,AK
SB21-0008,20,Chicago,Covid-19 Short Turn,Short-turn operation extras for #20- Saturday,Saturday,01/09/2021,AK
SB21-0009,53,Chicago,Covid-19 Short Turn,Short-turn operation extras for #53 - Sunday,Sunday,01/03/2021,AK
SB21-0010,53,Chicago,Covid-19 Short Turn,Short-turn operation extras for #53 - Weekday,Monday,01/04/2021,AK
SB21-0011,53,Chicago,Covid-19 Short Turn,Short-turn operation extras for #53- Saturday,Saturday,01/09/2021,AK
SB21-0012,66,Chicago,Covid-19 Short Turn,Short-turn operation extras for #66 - Sunday,Sunday,01/17/2021,AK
SB21-0013,66,Chicago,Covid-19 Short Turn,Short-turn operation extras for #66 - Saturday,Saturday,01/16/2021,AK
SB21-0014,70,Chicago,Covid-19 Short Turn,Short-turn operation extras for #70 - Weekday,Monday,01/04/2021,AK
SB21-0015,72,Chicago,Covid-19 Short Turn,Short-turn operation extras for #72 - Weekday,Monday,01/04/2021,AK
SB21-0016,74,Chicago,Covid-19 Short Turn,Short-turn operation extras for #74 - Weekday,Monday,01/04/2021,AK
SB21-0017,12,Kedzie,Covid-19 Short Turn,Short-turn operation extras for #12 - Sunday,Sunday,01/03/2021,AK
