duty,op_days,rept,pull,start_pl,full_pay,plat_pay,rev_pay,orig_pay,relief_duty,dtype,orig_relief_duty,st_plB,reptB,pullB,route,pay_diff,asterisk
1339,Saturday,2221,2236,#119 @ 119Wes,8h00,8h00,8h00,8h00,,adjusted,,,,,119,0,
1340,Saturday,2221,2236,#119 @ 95 Red,8h30,8h30,8h30,8h30,,adjusted,,,,,119,0,
1937,Saturday,2154,2209+,#95 @ 95 Sto,9h30,9h30,9h30,8h29,1903,adjusted,1053,,,,95,61,
1938,Saturday,2231,2246,#34 @ 95 Red,9h15,9h15,9h15,8h23,1904,adjusted,1902,,,,34,52,
1939,Saturday,2213,2228+,#95 @ 95 Sto,8h10,8h10,8h10,9h11,1053,adjusted,1903,,,,95,-61,True
1940,Saturday,2243,2258+,#95 @ 95 Sto,8h11,8h11,8h11,9h03,1902,adjusted,1904,,,,95,-52,True
5048,Saturday,2236,2251,#20 @ MadPul,8h50,8h50,8h50,7h43,5006,adjusted,5003,,,,20,67,
5049,Saturday,2306,2321,#20 @ MadPul,7h13,7h13,7h13,7h48,5003,adjusted,5005,,,,20,-35,True
5050,Saturday,2336,2351,#20 @ MadPul,7h18,7h18,7h18,7h50,5005,adjusted,5006,,,,20,-32,True
5348,Saturday,2208,2223,#53 @ EriPul,8h14,8h14,8h14,7h49,5307,adjusted,5304,,,,53,25,
5349,Saturday,2225,2240+,#53 @ EriPul,7h32,7h32,7h32,7h57,5304,adjusted,5307,,,,53,-25,True
5350,Saturday,2304,2319+,#53 @ EriPul,8h20,8h20,8h20,8h20,5306,adjusted,5306,,,,53,0,
5493,Saturday,1453,1522,RW 5003 @ MadPul,12h28,12h28,12h28,8h37,,revised,,,,,20,231,
5657,Saturday,2143,2158,#66 @ ChiKos,9h29,9h29,9h29,8h47,5606,adjusted,5605,,,,66,42,
5658,Saturday,2222,2237,#66 @ ChiKos,8h08,8h08,8h08,7h49,5605,adjusted,5603,,,,66,19,
5659,Saturday,2249,2304+,#66 @ ChiKos,7h22,7h22,7h22,8h03,5603,adjusted,5607,,,,66,-41,True
5660,Saturday,2331,2346,#66 @ ChiKos,7h21,7h21,7h21,7h41,5607,adjusted,5606,,,,66,-20,True
5680,Saturday,1538,1607,RS 5405 @ ChiCic,11h47,11h47,11h47,8h14,,revised,,,,,54,213,
6094,Saturday,1927,1942,#9 @ 74 Ash,9h04,9h04,9h04,8h03,,adjusted,,,,,9,61,
6095,Saturday,1956,2011+,#9 @ 74 Ash,9h02,9h02,9h02,8h04,,adjusted,,,,,9,58,
6096,Saturday,2029,2044+,#9 @ 74 Ash,9h01,9h01,9h01,8h02,,adjusted,,,,,9,59,
